
==================== AREA: Sociabilidad ====================

--- Manada ---
ID: 595ef0ea-e126-4e93-8b3e-79bee8d8e1a9 | 13 a 15 años | Sé cuáles son los principales problemas ambientales de mi país.
ID: 385a0c5c-c0c0-46f9-8294-95c7af828da5 | 13 a 15 años | He participado con mi patrulla en proyectos de conservación.
ID: a23affa5-6463-41ec-9f51-7f92aa7fdd60 | 13 a 15 años | Mantengo una agenda de direcciones útiles.
ID: 5ff08326-49d9-4f83-8ffd-9b4b83425a95 | 11 a 13 años | Cumplo los compromisos que asumo.
ID: 9e3ce0d2-2b56-4d1e-9135-029cfaaa0e6b | 13 a 15 años | Respeto a todas las personas, independientemente de sus ideas, su clase social y su forma de vida.
ID: 234b7941-49cb-4656-8080-d30b65cf0029 | 13 a 15 años | No me gusta cuando no se respetan los derechos humanos y lo digo.
ID: 86784e96-688b-45d1-897f-d31527a51134 | 13 a 15 años | Considero las opiniones de los demás personas cuando tengo que tomar decisiones que las afectan.
ID: dc2d07ac-ee5a-45b5-84d1-098e77012347 | 13 a 15 años | Opino con respeto sobre las personas que ejercen autoridad.
ID: c6ec1a8c-37fb-441c-860c-755143523afe | 11 a 13 años | Trabajo con los demás personas para lograr las metas que nos hemos propuesto.
ID: a1d57e25-0012-41f5-bbff-05c5845dfb0f | 11 a 13 años | Entiendo cuáles son mis responsabilidades cuando tengo un cargo.
ID: a594a460-1ab9-4c09-b01a-c2555163e86e | 13 a 15 años | Opino sobre lo que me gusta o no de las normas de los distintos ambientes en que actúo.
ID: 0d3b6b51-07ed-4d62-ba46-e68bab986e57 | 11 a 13 años | Participo en las actividades de servicio que organiza mi patrulla.
ID: 02b90ae6-edbc-4221-a9ec-4ac50d8b8b30 | 13 a 15 años | Propongo actividades de servicio de mi patrulla y Tropa y colaboro en su organización.
ID: ce61d539-018b-4f09-a53d-957a1a9d50ec | 13 a 15 años | Conozco las diferentes posiciones políticas que hay en mi país.
ID: 4dcd5192-7990-43df-aee2-517dde3fc548 | 11 a 13 años | Me gusta sentirme parte de la cultura de mi país.
ID: 482b9b0f-88a3-41ba-b5d7-abffa0eee808 | 13 a 15 años | Conozco la geografía de mi país y su influencia en nuestra cultura.
ID: e75ca4e5-7124-44f1-9243-e399b7885856 | 11 a 13 años | Conozco los principales símbolos, tanto del Movimiento Guía como del Movimiento Scout.
ID: b3b7d5f7-54cd-4b3c-8016-2138bb409d59 | 11 a 13 años | Conozco las principales culturas originarias de América.
ID: 3226db8e-8203-44b8-94f6-542c0a820eb7 | 13 a 15 años | Conozco el Movimiento Guía y Scout de mi país.
ID: 2f6656bb-3e43-4d77-93b8-b1e7f66f2b46 | 13 a 15 años | Me intereso en conocer en detalle una cultura originaria de América.
ID: 39a993cd-7703-4757-8782-4f39d5e0dda2 | 11 a 13 años | Conozco los diferentes ecosistemas de mi país.
ID: 8fb20cc7-537c-48c3-95dc-f1e836d576a2 | 13 a 15 años | Aplico técnicas que me permiten mejorar el medioambiente y no dañar los lugares en que acampo.
ID: bb7fb904-59e9-406c-a732-ff9805dc243c | 11 a 13 años | He participado con mi patrulla en la mantención de un huerto productivo u otro proyecto similar.

--- Compañía ---
ID: fce82191-77ea-444b-89d9-e33b62a323a5 | 11 a 13 años | Procuro que respetemos a nuestras compañeras, cualquiera sea su manera de ser.
ID: 670852e4-d07d-48f5-b39b-b0b336059600 | 11 a 13 años | Converso con mi patrulla sobre los derechos humanos.
ID: 007e85ea-2b06-48c2-8ac1-873d59643aae | 11 a 13 años | Conozco y respeto las principales normas de convivencia.
